"à";"interrogative particle; initial particle";2 13
"ạ";"polite final particle";4
"ai?";"who?";1
"ai đấy";"someone";14
"ai đó";"someone";14
"ai cũng";"everybody";10
"Anh";"England; English";1 2
"anh";"elder brother; you";1
"ảnh";"photo, picture";7
"ảnh hưởng";"(to) influence";14
"ao";"pond";13
"áo";"shirt";2
"áo dài";"Vietnamese traditional flowing tunic";10
"áo mưa";"raincoat";14
"áo ngắn tay";"short sleeve shirt";11
"ăn";"to eat";1
"ăn chay";"to be a vegetarian";13
"ăn sáng";"to eat breakfast";5
"ăn sinh nhật";"to celebrate one’s birthday";5
"ăn tối";"to have dinner, supper";9
"ăn trưa";"to have lunch";9
"ấy";"that";1 2
"âm";"minus";14
"ấm";"warm";9
"ấm áp";"pleasantly warm (reduplicative)";14
"ẩm";"humid";14
"độ ẩm";"humidity";14
"ba";"three; father";4 2
"bà";"grandmother; lady; you";4 1
"bác";"uncle, aunt";4
"bác sĩ";"doctor, physician";1
"bài";"lesson; (newspaper) article";9 1
"bài hát";"song";11
"bài tập";"exercise";2
"bài tập về nhà";"homework";8
"ban đêm";"night time";5
"ban ngày";"day time";5
"bàn";"table; to discuss";11 2
"bàn ghế";"furniture";10
"bán";"to sell";1
"bán mở hàng";"to sell for the first time in a day (of a store, business, etc.)";11
"bạn";"friend";4
"bang";"state";7
"bảng";"chalkboard, blackboard";8
"Bảng";"pound (monetary unit of the United Kingdom)";11
"bánh";"cake, pie, cookies";13
"bánh chưng";"New Year rice cake";13
"bánh cuốn";"steamed springrolls";13
"bánh mì";"bread";10
"bao giờ?";"when?";5
"bao giờ … cũng";"always";10
"bao lâu?";"[for] how long?";6
"bao nhiêu?";"how many?";4
"bao xa?";"how far?";9
"báo";"newspaper";1
"bảo";"to tell";12
"bảo tàng";"museum";10
"bảo vệ";"to defend";7
"bão";"storm, tornado, typhoon";14
"bão tuyết";"snowstorm";14
"bát";"bowl";10
"bảy";"seven";2
"bắc";"North; Northern";10
"băng";"ice (not for drinking)";14
"bằng";"equal; in, by; (made) of; used to form the positive of adjectives and adverbs";11 10 8 14
"bắt";"to force (someone to do something)";12
"bắt đầu";"to start, begin";6
"bắt tay";"to start doing something, set to work, set about something";10
"bắt tay vào";"to start doing something, set to work, set about something";10
"bận";"to be busy";4
"bây giờ";"now";5
"béo";"fat";9
"béo ra";"to get fat";9
"bể";"sea (in some word-combinations)";13
"cua bể";"sea-crab; sea-crab";13
"bể bơi";"swimming pool";9
"bên";"side";7
"bến xe buýt";"bus stop";9
"bệnh";"disease, illness, ailment";12
"bệnh viện";"hospital";3
"Bệnh viện Đa khoa Massachusetts";"Massachusetts General Hospital";7
"bị";"passive voice marker; to suffer";10 12
"bị mất cắp";"to have something stolen";10
"Anh bị sao?";"What’s the matter?";12
"bia";"beer";3
"bia hơi";"beer from a tap";13
"biển";"sea, ocean";9
"biết";"to know";2
"bình thường";"(as) usual, O.K.";12
"bò";"cow, beef";13
"bỏ";"to give up";12
"bóng bàn";"table tennis";9
"bóng chuyền";"volleyball";9
"bóng rổ";"basketball";9
"Bồ Đào Nha";"Portugal; Portuguese";2
"bố";"father";1
"bố mẹ";"parents";1
"bộ";"set; classifier for movies, etc.";4
"bốn";"four";2
"bỗng";"suddenly, all of a sudden";14
"bỗng nhiên";"suddenly, all of a sudden";14
"bờ";"bank, shore, coast";9
"bờ sông";"riverside";9
"bơi";"to swim";9
"bớt";"to take off, have discount for someone";11
"bún";"soft noodles made from rice flour";13
"bùng binh";"traffic circle, rotary";10
"bụng";"belly, stomach";12
"buổi";"length of time, division of the day";5
"buồn nôn";"nauseous";12
"buốt";"sharp (of pain, wind)";14
"rét buốt";"piercingly cold; piercingly cold";14
"bút";"pen";2
"bữa ăn";"meal";13
"bữa cơm";"meal";12
"bức";"hot and sultry; classifier for letters, paintings, etc.";14 12
"bưởi";"grapefruit";2
"bưu điện";"post office";1
"cà";"Vietnamese eggplant, aubergine";13
"cá";"fish";2
